Channel Index,Frame,Track ID,Steps, X (nm),Y (nm),Z (nm),Photon Count,Diffusion coeff. (um^2/s),Total Displacement,Duration (us)
1,6,18,5,32563,40501.2,0,2612.17,0.0655348,0.268468,0
1,1,19,20,35421.2,41681.2,0,2627.96,0.0264371,0.521343,0
1,2,19,20,35426.6,41715.1,0,1936.53,0.0264371,0.521343,0
1,3,19,20,35355.4,41636.7,0,1315.49,0.0264371,0.521343,0
1,4,19,20,35423.5,41688.1,0,2516.49,0.0264371,0.521343,0
1,5,19,20,35407.4,41661.6,0,2311.02,0.0264371,0.521343,0
1,6,19,20,35369.1,41612,0,876.767,0.0264371,0.521343,0
1,7,19,20,35378.5,41649.4,0,3355.81,0.0264371,0.521343,0
1,8,19,20,35372,41646.4,0,2253.64,0.0264371,0.521343,0
1,9,19,20,35385.9,41643.5,0,1468.54,0.0264371,0.521343,0
1,10,19,20,35397.1,41654.6,0,2730.45,0.0264371,0.521343,0
1,11,19,20,35379.7,41608.6,0,2084.05,0.0264371,0.521343,0
1,12,19,20,35373.4,41650.6,0,4342.28,0.0264371,0.521343,0
1,13,19,20,35374.3,41629.6,0,1137.02,0.0264371,0.521343,0
1,14,19,20,35354.7,41643,0,1421.54,0.0264371,0.521343,0
1,15,19,20,35393.4,41632.6,0,1247.39,0.0264371,0.521343,0
1,16,19,20,35370.2,41678.8,0,5058.13,0.0264371,0.521343,0
1,17,19,20,35359.6,41627.6,0,1328.27,0.0264371,0.521343,0
1,18,19,20,35381.2,41597.3,0,1621.12,0.0264371,0.521343,0
1,19,19,20,35391.8,41636.8,0,1393.12,0.0264371,0.521343,0
1,20,19,20,35383.6,41624.1,0,1527.35,0.0264371,0.521343,0
1,21,19,20,35378.9,41637.2,0,2087.31,0.0264371,0.521343,0
1,1,20,11,37868.6,43235.9,0,3163.86,0.0326827,0.0766468,0
1,2,20,11,37843.7,43245.5,0,2797.96,0.0326827,0.0766468,0
1,3,20,11,37848.4,43254,0,2898.84,0.0326827,0.0766468,0
1,4,20,11,37833.6,43241.2,0,2297.02,0.0326827,0.0766468,0
1,5,20,11,37853.4,43266.1,0,4237.01,0.0326827,0.0766468,0
1,6,20,11,37831.7,43254.6,0,1293.4,0.0326827,0.0766468,0
1,7,20,11,37901,43314.5,0,2182.69,0.0326827,0.0766468,0
1,8,20,11,37874,43257.4,0,1612.4,0.0326827,0.0766468,0
1,9,20,11,37826.6,43287.3,0,1559.41,0.0326827,0.0766468,0
1,10,20,11,37912.9,43283.9,0,1714.53,0.0326827,0.0766468,0
